sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
4.903890155668246,3.1268560442210656,1.5402308348810865,0.2239452512214618,setosa
5.067976898778506,3.4956519818504517,1.247453690465289,0.1955278970269919,setosa
5.478154685635401,3.477918476856639,1.2880243852659496,0.22065278604093097,setosa
5.188996809668804,3.7082378232852165,1.3969194755224155,0.3498151403130637,setosa
5.69317809515408,3.8080875566858494,1.7745731890450922,0.30447410218556803,setosa
5.0431580767861615,3.606246367521442,1.3584126599905213,0.17528042598327934,setosa
5.041389832435444,3.585881058360411,1.336578299626794,0.23611997211900346,setosa
5.212672020236818,3.3989306106394723,1.4331780407930474,0.27088662663889507,setosa
4.940264339823185,3.0017992982004227,1.6952838407135178,0.20360213120977264,setosa
4.400264986801965,2.986079319620843,1.298477107681089,0.2623510016530688,setosa
5.097460976297785,3.3091550617323024,1.6430815972580008,0.4825552710034897,setosa
4.561350985995354,3.087799978311228,1.4628761430997752,0.22503396782391552,setosa
4.947093068630639,3.306898576368197,1.2617043519143882,0.16823493276436385,setosa
5.142174672328302,3.7987717912793624,1.571800834267851,0.20562572175137725,setosa
5.425926636868735,3.6692764288202966,1.397563085636009,0.2273376209771848,setosa
5.894241115125908,3.9999352984837016,1.2377078691125425,0.23305022789249114,setosa
5.1424562246189955,3.542179974048514,1.3271536393851682,0.28822979616167244,setosa
5.019459747751758,3.61891954183391,1.2898378448975285,0.18113466577115697,setosa
5.43513273748766,3.903871610770556,1.6771721992606146,0.4302301130227071,setosa
5.0017194515676575,3.290493636409929,1.3406995018659718,0.26246281931972143,setosa
4.7938543056732685,3.4173360911268746,1.6211471441421093,0.22428207551021412,setosa
4.894280854010188,2.9615656660169787,1.2915666862940687,0.09365967601614415,setosa
5.136835746773471,3.4864236566767093,1.4556795067081931,0.20558837599045568,setosa
4.991052892389358,3.49129749909683,1.6609510902384752,0.599106518750317,setosa
5.738056583542737,4.402646762022708,1.5531505453985601,0.3705949703324908,setosa
5.094445168746368,3.472166769191761,1.1455658803427204,0.30625967309073654,setosa
5.054205862765148,3.800663593994011,1.4501857177220465,0.3102637857684971,setosa
5.447121211280766,3.4106296070198177,1.528599488429216,0.3647064008299109,setosa
4.978071023005837,3.3547505814646366,1.61630870939783,0.4168203784183721,setosa
4.858901843633847,2.9779595137161587,1.4436721614639274,0.18243811102341068,setosa
4.817209845502284,2.980646233329673,1.5070919784029086,0.1375551613943814,setosa
4.311595713170215,2.989815764848511,1.2394543087785668,0.15865432289558445,setosa
5.1847473634398575,4.140343395417449,1.4750009855540296,0.11223294822057088,setosa
4.360517197551045,2.9546354617671433,0.9105598468323796,0.13181858574146846,setosa
5.424064989709865,3.548175764663615,1.2329370178462262,0.22981273053963924,setosa
5.3817968787059485,3.6939913468013095,1.4472025882936312,0.13668902709126315,setosa
5.478154685635401,3.477918476856639,1.2880243852659496,0.22065278604093097,setosa
5.45919288938825,4.185524975558486,1.218364842275878,0.12993752682827756,setosa
4.564863247870339,3.411734226748277,1.4732357985189517,0.3832558438289917,setosa
5.843124257465312,3.984194730947561,1.236641090331747,0.20799991509579835,setosa
5.093358883046027,3.758942205807047,1.6607674696758248,0.17822357208660336,setosa
4.975488160278573,3.41093124391806,1.5213124816167065,0.20294540914230033,setosa
5.43341029943352,3.897438149481272,1.6002007948316161,0.36448473500937933,setosa
5.188512339046674,3.4940154451230288,1.5679788405095456,0.25130305712002843,setosa
5.132893442208228,3.7923671913797863,1.7224309069842454,0.19573632596981008,setosa
5.132165024820964,3.8085891361171544,1.395026612446358,0.32876683886131813,setosa
5.454982189563506,4.204738808016031,1.3108644663806899,0.2424221121756167,setosa
5.513757308510991,3.4978755447939913,1.2248675979439339,0.15896148235819632,setosa
4.400264986801965,2.986079319620843,1.298477107681089,0.2623510016530688,setosa
4.9674135222187745,3.608128298330227,1.437604131505552,0.23663849515998636,setosa
5.047702551090188,3.3909261016170364,1.5638547169655772,0.19972427329631182,setosa
4.4492781263769725,2.99529046438089,1.2376556625878128,0.24221492452428095,setosa
4.403915309691616,3.1524995920548524,1.486609397300093,0.22310200075083683,setosa
4.994798801216296,3.0371105401021854,1.7076678873379607,0.21307122830623837,setosa
4.74351179057263,3.1941728538814593,1.545908139774236,0.2162287674395812,setosa
4.437209067120175,2.296144591598949,1.4318776260207042,0.29351520632490347,setosa
5.691416831266604,4.391417471500938,1.5158197531368,0.4007632046111527,setosa
5.815846769337359,4.015691175956449,1.1415565376374173,0.1912290529779892,setosa
5.175302268370777,3.826848226695585,1.9125761977611369,0.3903875649715915,setosa
5.098798985638331,3.515690402181935,1.459887091168889,0.199433773491376,setosa
4.743448247006961,3.390754325179162,1.6021373523864102,0.2364766117316178,setosa
4.4994951850909395,2.310314903532369,1.176107830331665,0.27256564362860924,setosa
4.97944032874683,3.4753227209968234,1.5603210932487108,0.6077690345059252,setosa
5.319854473020662,3.6980457216743003,1.5261614917201056,0.17150002392467836,setosa
4.797455672971875,2.9867147014287703,1.2751929495509733,0.2948852217035156,setosa
5.094746305647748,3.8291115735889467,1.6016413130137974,0.16703744086840377,setosa
5.51670464062735,3.5234429595715664,1.1998734003180112,0.2204183235596511,setosa
4.838971983936991,2.9907153660435326,1.3126424906314926,0.10206594367528,setosa
4.88306057074125,3.602776757499514,1.384497834251238,0.07019788103516203,setosa
5.4393105017032655,3.884235939605435,1.7286684127069218,0.3910837596441077,setosa
5.094746305647748,3.8291115735889467,1.6016413130137974,0.16703744086840377,setosa
5.480959774589292,4.173408075200077,1.5148577107224777,0.20488853690673334,setosa
5.102932334055775,3.297519373532753,1.398905072144284,0.2230609822313027,setosa
5.564057847287365,3.4826221740496837,1.3263579950017308,0.16380386838334998,setosa
4.830408090368714,3.393345748121821,1.9889266894018305,0.2074761621854063,setosa
4.768842619773804,3.389348369003924,1.5937290545982878,0.17474335306945882,setosa
4.392474622224781,3.2109208630714656,1.3528281075955952,0.2322723370815644,setosa
4.57632513642537,3.387370056225237,1.5287934262408893,0.32635436473300566,setosa
4.53008406822972,2.2991850291317806,1.2568481125459268,0.3210759876949326,setosa
5.129695866518275,3.302063703080198,1.8020409313523742,0.5119237082312841,setosa
4.574298788242779,3.068741468465547,1.5165251242991835,0.20006093199573416,setosa
5.45919288938825,4.185524975558486,1.218364842275878,0.12993752682827756,setosa
5.420908341508217,3.874333641611046,1.6794027267805283,0.3684918272802385,setosa
4.9857292758830996,3.494218842494582,1.1910455158620261,0.3317037779529322,setosa
4.43158916614628,3.1512940675648857,1.264633008400585,0.1709763903997595,setosa
5.0934004516006715,3.775005564794467,1.5627500109356847,0.2220957281708451,setosa
5.1588470709593555,3.4943382774178393,1.5924421969839937,0.23175142999575576,setosa
5.208313836891519,3.4247902536041073,1.3141643002862642,0.19317442736446477,setosa
5.217525792436629,4.089370901769136,1.4849862417049393,0.13662673380461285,setosa
4.88291318795469,3.581209940619589,1.4454549810019643,0.0700962206842384,setosa
4.912553872838432,3.1230214203486844,1.6696232516794922,0.08657510715440975,setosa
4.584382436323594,3.433056039409526,1.2346825383592102,0.4233904506173937,setosa
5.070524882758455,3.798026819326778,1.577543032326957,0.32839472635059763,setosa
